order_id,order_date,region,category,quantity,unit_price,discount
ORD-000109,2025-02-08,,Fashion,5,140650.0,0.15
ORD-000110,2025-01-21,Daegu,Home,7,50770.0,0
ORD-000111,2025-03-29,Seoul,Home,7,181480.0,0.1
ORD-000112,2025-02-23,Gwangju,Beauty,1,236147.0,0.1
ORD-000113,2025-03-29,Incheon,Fashion,10,50772.0,0.1
ORD-000114,2025-05-01,Busan,Food,8,276643.0,0
ORD-000115,2025-01-28,Busan,Beauty,1909,194398.0,0
ORD-000116,2025-04-10,Seoul,Fashion,10,232376.0,0
ORD-000117,2025-03-07,Busan,Fashion,1,30630.0,0.15
ORD-000118,2025-01-02,Daegu,Electronics,8,249085.0,0.05
ORD-000119,2025-01-31,Daegu,Beauty,4,175142.0,0
ORD-000120,2025-04-24,Incheon,Beauty,5,,0.05
ORD-000121,2025-04-06,Busan,Electronics,2,270516.0,0.05
ORD-000122,2025-04-24,Busan,Home,3,141634.0,0
ORD-000123,2025-04-13,Incheon,Home,9,151959.0,0
ORD-000124,2025-02-18,Seoul,Food,1,178612.0,0.15
ORD-000125,2025-02-13,Gwangju,Food,1,258625.0,0
ORD-000126,2025-04-20,Gwangju,Electronics,3,261682.0,0.1
ORD-000127,2025-03-08,Daegu,Home,7,190165.0,0
ORD-000128,2025-04-11,Gwangju,Food,10,86408.0,0
ORD-000129,2025-05-01,Busan,Fashion,7,219739.0,0.15
ORD-000130,2025-04-27,Daegu,Food,7,,0
ORD-000131,2025-03-19,Gwangju,Electronics,9,138145.0,0
ORD-000132,2025-04-05,Daegu,Food,4,63971.0,0
ORD-000133,2025-03-14,Incheon,Home,1,296612.0,0.1
ORD-000134,2025-01-01,Seoul,Beauty,7,119446.0,0
ORD-000135,2025-02-20,Daegu,Beauty,7,43460.0,0
ORD-000136,2025-03-27,Daegu,Fashion,5,151252.0,0
ORD-000137,2025-03-13,Incheon,Electronics,8,249721.0,0
ORD-000138,2025-03-05,,Beauty,1,21546.0,0.15
ORD-000139,2025-03-13,Seoul,Electronics,8,138899.0,0
ORD-000140,2025-04-27,Gwangju,Food,8,216957.0,0.15
ORD-000141,2025-04-01,Gwangju,Electronics,1,197421.0,0.05
ORD-000142,2025-02-17,Gwangju,Fashion,4,142276.0,0.1
ORD-000143,2025-04-09,Busan,Fashion,5,127894.0,0
ORD-000144,2025-01-20,Incheon,Beauty,3,27704.0,0.1
ORD-000145,2025-03-29,,Food,10,240766.0,0.15
ORD-000146,2025-04-06,Gwangju,Home,9,256384.0,0
ORD-000147,2025-02-04,Incheon,Fashion,3,107862.0,0.05
ORD-000148,2025-02-03,Incheon,Electronics,2,96217.0,0
ORD-000149,2025-02-28,Seoul,Fashion,6,34981.0,0
ORD-000150,2025-03-16,Busan,Home,5,286211.0,0
ORD-000151,2025-03-02,Busan,Fashion,9,95864.0,0.05
ORD-000152,2025-03-27,Seoul,Fashion,6,171584.0,0.15
ORD-000153,2025-02-24,Seoul,Food,9,174213.0,0
ORD-000154,2025-01-30,Seoul,Home,5,201722.0,0
ORD-000155,2025-03-16,Daegu,Electronics,4,154845.0,0
ORD-000156,2025-03-21,Daegu,Electronics,7,175946.0,0.05
ORD-000157,2025-04-11,Seoul,Home,2,272800.0,0.1
ORD-000158,2025-02-09,Gwangju,Home,5,226624.0,0
ORD-000159,2025-03-02,,Beauty,8,248933.0,0.05
ORD-000160,2025-01-12,Daegu,Food,5,242761.0,0.05
ORD-000161,2025-03-10,Seoul,Fashion,8,103934.0,0.05
ORD-000162,2025-01-14,,Beauty,4,163560.0,0.05
ORD-000163,2025-04-29,Seoul,Fashion,5,206287.0,0
ORD-000164,2025-01-18,Daegu,Home,5,30619.0,0.1
ORD-000165,2025-02-05,Seoul,Electronics,6,,0
ORD-000166,2025-04-16,Seoul,Food,3,19666.0,0
ORD-000167,2025-03-30,Daegu,Electronics,8,264789.0,0
ORD-000168,2025-04-30,Busan,Food,8,286497.0,0
ORD-000169,2025-03-27,Busan,Food,5,24781.0,0.05
ORD-000170,2025-02-28,Seoul,Fashion,1,114673.0,0
ORD-000171,2025-04-29,Gwangju,Food,3,17760.0,0
ORD-000172,2025-04-12,Gwangju,Food,5,199520.0,0.05
ORD-000173,2025-01-13,Busan,Food,6,44620.0,0.05
ORD-000174,2025-04-02,Daegu,Home,2,205255.0,0.1
ORD-000175,2025-01-29,Gwangju,Food,5,288336.0,0.15
ORD-000176,2025-01-14,Daegu,Electronics,5,18727.0,0.05
ORD-000177,2025-02-17,Incheon,Beauty,1,198642.0,0.15
ORD-000178,2025-02-14,Gwangju,Food,3,211217.0,0.1
ORD-000179,2025-03-23,,Beauty,10,43908.0,0
ORD-000180,2025-02-17,Daegu,Home,10,156852.0,0.15
ORD-000181,2025-04-04,,Home,7,284779.0,0
ORD-000182,2025-02-11,Busan,Food,3,9063.0,0.05
ORD-000183,2025-02-08,Incheon,Beauty,8,107745.0,0
ORD-000184,2025-04-03,Daegu,Food,8,165902.0,0.1
ORD-000185,2025-04-09,Busan,Beauty,1754,45759.0,0.15
ORD-000186,2025-02-16,Seoul,Fashion,2,39786.0,0.1
ORD-000187,2025-04-12,Daegu,Home,9,88562.0,0
ORD-000188,2025-03-01,Seoul,Food,6,285704.0,0
ORD-000189,2025-03-06,Gwangju,Beauty,7,61080.0,0
ORD-000190,2025-02-15,Incheon,Electronics,1,164835.0,0.1
ORD-000191,2025-04-30,Gwangju,Food,5,41181.0,0.1
ORD-000192,2025-01-16,Gwangju,Food,6,135348.0,0.05
ORD-000193,2025-03-20,Incheon,Beauty,6,,0.1
ORD-000194,2025-03-03,Gwangju,Beauty,1,112784.0,0.1
ORD-000195,2025-02-11,Gwangju,Home,2,117095.0,0
ORD-000196,2025-03-25,Daegu,Electronics,2,280173.0,0
ORD-000197,2025-03-31,,Electronics,5,262564.0,0
ORD-000198,2025-03-07,Gwangju,Home,9,254178.0,0.1
ORD-000199,2025-02-10,Seoul,Home,6,132941.0,0
ORD-000200,2025-04-05,Busan,Home,3,172305.0,0
ORD-000201,2025-04-02,Gwangju,Food,4,292401.0,0.15
ORD-000202,2025-05-01,Incheon,Electronics,10,,0
ORD-000203,2025-02-09,Incheon,Electronics,5,223661.0,0.05
ORD-000204,2025-03-18,Busan,Home,3,,0.1
ORD-000205,2025-04-19,Daegu,Food,7,19493.0,0.15
ORD-000206,2025-03-19,Incheon,Food,1,44290.0,0.1
ORD-000207,2025-01-13,Incheon,Electronics,5,,0.1
ORD-000208,2025-04-17,Daegu,Food,7,150826.0,0
ORD-000209,2025-03-20,Incheon,Beauty,4,282796.0,0.1
ORD-000210,2025-01-30,,Fashion,9,288989.0,0.1
ORD-000211,2025-01-25,Seoul,Home,6,124427.0,0
ORD-000212,2025-02-07,Incheon,Beauty,2,24328.0,0
ORD-000213,2025-01-11,Gwangju,Fashion,9,67034.0,0
ORD-000214,2025-02-16,Daegu,Beauty,5,42424.0,0
ORD-000215,2025-03-31,Gwangju,Fashion,8,208740.0,0.05
ORD-000216,2025-01-28,Daegu,Food,10,184200.0,0
ORD-000217,2025-03-19,Daegu,Fashion,3,104801.0,0
ORD-000218,2025-02-11,Incheon,Food,1,164678.0,0.15
ORD-000219,2025-02-07,Gwangju,Home,10,132174.0,0
ORD-000220,2025-04-08,Busan,Home,1,218473.0,0
ORD-000221,2025-02-04,Gwangju,Fashion,5,68962.0,0
ORD-000222,2025-02-18,,Electronics,9,179382.0,0.15
ORD-000223,2025-04-22,Seoul,Electronics,6,204092.0,0.1
ORD-000224,2025-03-18,Daegu,Beauty,5,258466.0,0
ORD-000225,2025-02-06,Busan,Food,6,255914.0,0.1
ORD-000226,2025-04-21,Seoul,Food,8,19748.0,0
ORD-000227,2025-02-18,Seoul,Electronics,4,289655.0,0.1
ORD-000228,2025-04-07,,Home,10,89101.0,0.05
ORD-000229,2025-01-14,Daegu,Home,1,94724.0,0
ORD-000230,2025-02-19,Daegu,Fashion,5,58879.0,0.1
ORD-000231,2025-03-11,Daegu,Home,1,279153.0,0.15
ORD-000232,2025-02-28,Daegu,Electronics,1,294801.0,0.15
ORD-000233,2025-04-06,Gwangju,Home,8,208517.0,0
ORD-000234,2025-01-30,Seoul,Food,5,263806.0,0
ORD-000235,2025-02-02,Gwangju,Fashion,1,249047.0,0
ORD-000236,2025-02-16,Seoul,Fashion,4,282380.0,0.1
ORD-000237,2025-03-12,Seoul,Fashion,10,248444.0,0
ORD-000238,2025-01-10,Busan,Beauty,1,230129.0,0
ORD-000239,2025-01-03,Gwangju,Electronics,4,105774.0,0.15
ORD-000240,2025-04-09,Busan,Beauty,5,201883.0,0
ORD-000241,2025-04-14,Busan,Home,7,271905.0,0.1
ORD-000242,2025-02-10,Busan,Electronics,8,,0.15
ORD-000243,2025-03-24,Seoul,Electronics,3,212277.0,0
ORD-000244,2025-01-17,Gwangju,Electronics,6,128878.0,0
ORD-000245,2025-01-04,Gwangju,Fashion,10,74110.0,0
ORD-000246,2025-01-12,Seoul,Home,7,79645.0,0.1
ORD-000247,2025-03-07,Incheon,Food,6,,0
ORD-000248,2025-02-07,Daegu,Fashion,1,159962.0,0.1
ORD-000249,2025-02-06,Seoul,Fashion,3,201207.0,0
ORD-000250,2025-01-20,Busan,Food,8,136015.0,0.05
ORD-000251,2025-02-16,,Fashion,2,289685.0,0
ORD-000252,2025-02-15,Gwangju,Beauty,7,39227.0,0.15
ORD-000253,2025-03-25,Incheon,Beauty,9,288336.0,0
ORD-000254,2025-03-01,Daegu,Food,9,214872.0,0
ORD-000255,2025-04-19,Busan,Beauty,5,35842.0,0.15
ORD-000256,2025-03-26,Gwangju,Electronics,5,217984.0,0.15
ORD-000257,2025-01-01,Busan,Fashion,8,266390.0,0.1
ORD-000258,2025-03-04,Busan,Electronics,2,264811.0,0
ORD-000259,2025-01-01,Seoul,Fashion,9,199853.0,0
ORD-000260,2025-01-12,Gwangju,Fashion,4,50781.0,0
ORD-000261,2025-01-17,Busan,Food,2,287061.0,0.1
ORD-000262,2025-03-30,Busan,Beauty,4,142272.0,0
ORD-000263,2025-01-25,Gwangju,Fashion,5,237070.0,0.1
ORD-000264,2025-01-07,Gwangju,Home,6,,0
ORD-000265,2025-03-06,Daegu,Electronics,5,-57355.0,0.15
ORD-000266,2025-01-31,Daegu,Beauty,3,231300.0,0.05
ORD-000267,2025-03-01,Gwangju,Beauty,3,167542.0,0.15
ORD-000268,2025-02-05,Busan,Electronics,9,142705.0,0.1
ORD-000269,2025-03-25,Incheon,Fashion,5,74928.0,0.05
ORD-000270,2025-03-10,Seoul,Electronics,6,167490.0,0
ORD-000271,2025-01-06,Gwangju,Electronics,2,,0
ORD-000272,2025-01-09,Daegu,Beauty,1,253317.0,0.05
ORD-000273,2025-03-17,Incheon,Home,3,112222.0,0.1
ORD-000274,2025-02-05,Daegu,Fashion,7,293437.0,0
ORD-000275,2025-01-30,,Home,10,,0.05
ORD-000276,2025-01-22,Gwangju,Beauty,6,189758.0,0.05
ORD-000277,2025-01-12,Daegu,Home,5,231346.0,0
ORD-000278,2025-04-21,Seoul,Electronics,8,241252.0,0
ORD-000279,2025-03-12,Busan,Electronics,3,77551.0,0
ORD-000280,2025-03-21,Busan,Beauty,1,61372.0,0
ORD-000281,2025-04-18,Busan,Home,1,111710.0,0
ORD-000282,2025-03-10,Gwangju,Home,8,297890.0,0
ORD-000283,2025-02-28,Daegu,Food,10,257641.0,0
ORD-000284,2025-02-04,Busan,Home,2,298884.0,0
ORD-000285,2025-01-07,Busan,Food,1,20232.0,0.1
ORD-000286,2025-01-14,Daegu,Electronics,4,125329.0,0.05
ORD-000287,2025-02-21,Busan,Food,9,31300.0,0
ORD-000288,2025-03-14,Seoul,Beauty,5,200113.0,0
ORD-000289,2025-04-25,Seoul,Food,9,99659.0,0.1
ORD-000290,2025-01-26,Gwangju,Electronics,6,-114773.0,0.05
ORD-000291,2025-04-05,Gwangju,Food,9,146498.0,0
ORD-000292,2025-02-15,,Beauty,7,8113.0,0
ORD-000293,2025-02-01,Incheon,Fashion,10,154251.0,0.05
ORD-000294,2025-02-06,Seoul,Electronics,5,287143.0,0.05
ORD-000295,2025-01-09,Seoul,Beauty,2,145779.0,0.05
ORD-000296,2025-04-06,Incheon,Home,10,146447.0,0
ORD-000297,2025-03-07,Gwangju,Fashion,7,40118.0,0.1
ORD-000298,2025-02-02,Seoul,Electronics,8,163890.0,0.1
ORD-000299,2025-03-14,Gwangju,Food,9,50958.0,0.05
ORD-000300,2025-04-29,Gwangju,Beauty,5,86818.0,0
ORD-000301,2025-05-01,Seoul,Beauty,1,,0
ORD-000302,2025-04-08,Busan,Food,3,190093.0,0
ORD-000303,2025-01-31,Busan,Home,3,275637.0,0.05
ORD-000304,2025-04-03,Busan,Electronics,4,210953.0,0.05
ORD-000305,2025-04-28,Daegu,Home,10,216002.0,0.15
ORD-000306,2025-01-15,Daegu,Beauty,10,26729.0,0.05
ORD-000307,2025-04-19,Busan,Home,7,175115.0,0.15
ORD-000308,2025-03-09,Incheon,Home,4,269882.0,0.15
ORD-000309,2025-04-15,Seoul,Electronics,10,242600.0,0.1
ORD-000310,2025-02-25,Seoul,Fashion,8,253605.0,0.05
ORD-000311,2025-02-22,Incheon,Electronics,9,166785.0,0
ORD-000312,2025-01-22,Seoul,Electronics,4,42668.0,0
ORD-000313,2025-01-21,Daegu,Home,8,253353.0,0
ORD-000314,2025-03-08,Incheon,Food,6,-212499.0,0
ORD-000315,2025-01-25,Busan,Beauty,4,81234.0,0.05
ORD-000316,2025-02-16,Daegu,Fashion,8,122357.0,0
ORD-000317,2025-01-19,,Electronics,8,61799.0,0.05
ORD-000318,2025-04-05,Daegu,Home,4,244039.0,0.15
ORD-000319,2025-02-08,Busan,Fashion,3,17347.0,0
ORD-000320,2025-02-07,Gwangju,Electronics,8,227323.0,0.05
ORD-000321,2025-04-02,Busan,Beauty,4,155169.0,0
ORD-000322,2025-03-08,Gwangju,Home,6,45493.0,0.1
ORD-000323,2025-04-18,Seoul,Fashion,4,195511.0,0
ORD-000324,2025-04-20,Daegu,Fashion,10,79314.0,0.1
ORD-000325,2025-04-09,,Home,3,193577.0,0.15
ORD-000326,2025-01-01,Daegu,Electronics,1,,0
ORD-000327,2025-02-10,Gwangju,Home,8,189880.0,0
ORD-000328,2025-01-15,Gwangju,Food,9,163880.0,0.1
ORD-000329,2025-03-12,Gwangju,Home,8,238963.0,0
ORD-000330,2025-04-22,Daegu,Home,8,215738.0,0
ORD-000331,2025-02-10,,Fashion,6,124390.0,0
ORD-000332,2025-01-27,,Beauty,7,179469.0,0.15
ORD-000333,2025-03-20,Incheon,Electronics,7,287409.0,0.1
ORD-000334,2025-02-18,Incheon,Fashion,6,277563.0,0
ORD-000335,2025-03-26,Seoul,Food,3,246097.0,0
ORD-000336,2025-03-23,Busan,Electronics,9,159348.0,0
ORD-000337,2025-02-17,Gwangju,Food,10,165661.0,0
ORD-000338,2025-02-24,Incheon,Food,6,193920.0,0
ORD-000339,2025-04-27,Daegu,Beauty,5,197472.0,0
ORD-000340,2025-02-07,Daegu,Beauty,1,25435.0,0.05
ORD-000341,2025-02-05,Daegu,Beauty,6,276304.0,0.05
ORD-000342,2025-03-27,Busan,Beauty,4,124185.0,0.15
ORD-000343,2025-03-08,Busan,Beauty,1,267602.0,0
ORD-000344,2025-04-13,,Food,8,140220.0,0.1
ORD-000345,2025-03-18,Gwangju,Home,7,186988.0,0.05
ORD-000346,2025-01-17,Seoul,Home,9,215008.0,0.1
ORD-000347,2025-03-22,Incheon,Fashion,2,51171.0,0.1
ORD-000348,2025-01-09,,Fashion,2,65864.0,0
ORD-000349,2025-01-03,Daegu,Electronics,4,289469.0,0.1
ORD-000350,2025-01-11,Busan,Electronics,1,,0.15
ORD-000351,2025-03-24,Gwangju,Food,8,194686.0,0
ORD-000352,2025-02-22,Incheon,Food,5,29824.0,0.1
ORD-000353,2025-02-01,Busan,Food,9,81107.0,0
ORD-000354,2025-02-13,Gwangju,Fashion,7,,0.1
ORD-000355,2025-01-04,Busan,Fashion,6,222621.0,0.05
ORD-000356,2025-01-22,Gwangju,Electronics,9,52836.0,0
ORD-000357,2025-03-09,Busan,Fashion,7,235374.0,0.1
ORD-000358,2025-04-29,Seoul,Food,8,26611.0,0
ORD-000359,2025-04-13,Seoul,Fashion,2,21284.0,0
ORD-000360,2025-03-15,Daegu,Beauty,5,,0.1
ORD-000361,2025-01-23,Incheon,Home,7,44668.0,0
ORD-000362,2025-02-15,Gwangju,Food,9,277489.0,0
ORD-000363,2025-02-11,,Beauty,10,293307.0,0
ORD-000364,2025-01-06,Seoul,Home,6,299414.0,0
ORD-000365,2025-02-02,Incheon,Food,4,254226.0,0.05
ORD-000366,2025-02-18,Gwangju,Electronics,6,147777.0,0.05
ORD-000367,2025-03-10,Busan,Fashion,7,90825.0,0
ORD-000368,2025-04-22,Gwangju,Fashion,7,208723.0,0
ORD-000369,2025-02-05,Gwangju,Beauty,3,166728.0,0
ORD-000370,2025-02-24,Busan,Fashion,5,177669.0,0.05
ORD-000371,2025-02-04,Daegu,Fashion,2,49936.0,0.15
ORD-000372,2025-03-04,Gwangju,Home,4,55564.0,0.05
ORD-000373,2025-03-28,Busan,Food,5,158032.0,0.1
ORD-000374,2025-02-20,Daegu,Food,6,232830.0,0
ORD-000375,2025-04-16,Seoul,Beauty,6,206607.0,0
ORD-000376,2025-02-21,,Home,4,286934.0,0
ORD-000377,2025-03-06,Incheon,Food,3,252215.0,0.15
ORD-000378,2025-03-15,Busan,Fashion,5,225032.0,0.15
ORD-000379,2025-01-15,Gwangju,Electronics,7,96839.0,0
ORD-000380,2025-03-29,Daegu,Beauty,8,203448.0,0.05
ORD-000381,2025-03-31,Gwangju,Fashion,6,165902.0,0
ORD-000382,2025-03-08,Daegu,Electronics,1,31503.0,0
ORD-000383,2025-02-08,Incheon,Electronics,4,58636.0,0
ORD-000384,2025-04-24,Incheon,Home,5,176985.0,0
ORD-000385,2025-04-24,Gwangju,Electronics,7,77194.0,0
ORD-000386,2025-03-04,Incheon,Beauty,9,184548.0,0
ORD-000387,2025-02-26,Incheon,Electronics,1,238832.0,0.15
ORD-000388,2025-03-14,Gwangju,Food,9,123340.0,0
ORD-000389,2025-03-29,Daegu,Electronics,8,131050.0,0.15
ORD-000390,2025-01-29,Daegu,Fashion,6,102603.0,0.15
ORD-000391,2025-01-11,Daegu,Electronics,9,58634.0,0.15
ORD-000392,2025-04-07,Busan,Home,2,38417.0,0.1
ORD-000393,2025-03-19,Incheon,Home,2,183255.0,0.15
ORD-000394,2025-02-18,Gwangju,Home,1395,235355.0,0.1
ORD-000395,2025-03-09,Busan,Home,2,50168.0,0
ORD-000396,2025-02-22,Gwangju,Fashion,6,158067.0,0.05
ORD-000397,2025-02-20,Seoul,Beauty,5,202413.0,0.05
ORD-000398,2025-03-27,Seoul,Beauty,9,183050.0,0
ORD-000399,2025-02-17,Seoul,Electronics,2,59201.0,0
ORD-000400,2025-01-29,Gwangju,Fashion,1,290720.0,0
ORD-000401,2025-03-20,Gwangju,Electronics,8,74236.0,0
ORD-000402,2025-04-10,,Home,7,197700.0,0.05
ORD-000403,2025-03-26,Daegu,Fashion,2,190478.0,0.1
ORD-000404,2025-03-24,,Electronics,9,20283.0,0.1
ORD-000405,2025-04-26,Incheon,Food,3,151527.0,0.05
ORD-000406,2025-03-29,Busan,Home,1,294941.0,0.15
ORD-000407,2025-02-19,Seoul,Food,4,109657.0,0.15
ORD-000408,2025-03-10,Gwangju,Electronics,1,246783.0,0.1
ORD-000409,2025-01-05,Busan,Electronics,4,131532.0,0.05
ORD-000410,2025-01-12,Seoul,Food,4,42519.0,0
ORD-000411,2025-01-13,Busan,Home,9,179475.0,0.1
ORD-000412,2025-04-24,Gwangju,Electronics,6,18634.0,0
ORD-000413,2025-02-28,Daegu,Beauty,7,117118.0,0.15
ORD-000414,2025-04-09,Seoul,Electronics,5,55448.0,0
ORD-000415,2025-01-24,Busan,Beauty,4,55567.0,0.15
ORD-000416,2025-03-10,Daegu,Fashion,1,275519.0,0
ORD-000417,2025-01-18,Gwangju,Beauty,3,250848.0,0.05
ORD-000418,2025-03-17,Busan,Fashion,8,140646.0,0.15
ORD-000419,2025-01-11,Busan,Beauty,9,296399.0,0.05
ORD-000420,2025-03-03,Gwangju,Food,10,11723.0,0.1
ORD-000421,2025-01-24,Seoul,Beauty,3,115283.0,0
ORD-000422,2025-04-28,Incheon,Electronics,8,54946.0,0
ORD-000423,2025-03-06,Daegu,Food,3,25816.0,0
ORD-000424,2025-02-13,Gwangju,Home,2,9908.0,0.05
