customer_id,gender,senior,tenure_months,monthly_charges,total_charges,contract,payment_method,num_services,churn
CUST-00089,Female,0,69,101.22,7632.65,Two year,Mailed check,5,0
CUST-00090,Female,1,31,77.65,2636.97,One year,Mailed check,4,0
CUST-00091,Female,0,15,65.49,1052.89,One year,Bank transfer,8,0
CUST-00092,Female,0,24,30.82,712.02,Month-to-month,Bank transfer,5,0
CUST-00093,Female,0,13,60.63,720.29,Two year,Mailed check,5,0
CUST-00094,Male,1,37,71.81,2408.73,Two year,Electronic check,1,0
CUST-00095,Male,0,39,62.49,2386.38,Month-to-month,Electronic check,5,0
CUST-00096,Female,0,0,47.15,0.0,Two year,Mailed check,3,0
CUST-00097,Female,0,26,101.95,2420.94,Month-to-month,Mailed check,5,0
CUST-00098,Female,0,44,76.27,3600.26,Two year,Bank transfer,4,0
CUST-00099,Male,0,29,118.6,3367.11,Month-to-month,Electronic check,7,1
CUST-00100,Male,1,53,34.45,1682.27,One year,Credit card,4,0
CUST-00101,Male,0,21,59.06,1134.12,One year,Mailed check,8,0
CUST-00102,Female,0,41,116.57,4560.38,Two year,Mailed check,7,1
CUST-00103,Female,0,36,24.79,880.55,Two year,Electronic check,8,0
CUST-00104,Male,0,47,108.48,5527.53,Month-to-month,Electronic check,2,1
CUST-00105,Female,1,62,89.79,5170.08,Month-to-month,Bank transfer,5,0
CUST-00106,Female,0,35,59.32,2146.99,Two year,Credit card,8,0
CUST-00107,Female,1,7,19.55,148.45,Two year,Bank transfer,6,0
CUST-00108,Male,0,6,110.32,682.03,Month-to-month,Mailed check,8,1
CUST-00109,Male,0,60,89.33,5794.21,Two year,Credit card,1,0
CUST-00110,Male,0,58,70.46,4129.53,Month-to-month,Mailed check,3,0
CUST-00111,Female,1,69,94.95,6496.33,Month-to-month,Electronic check,6,1
CUST-00112,Male,0,14,48.74,694.35,Two year,Mailed check,2,0
CUST-00113,Female,1,21,98.51,2097.44,Two year,Mailed check,3,0
CUST-00114,Male,1,13,19.54,258.67,Month-to-month,Mailed check,2,0
CUST-00115,Male,0,29,97.96,2654.8,Two year,Bank transfer,2,1
CUST-00116,Female,0,7,54.43,393.23,Month-to-month,Credit card,8,1
CUST-00117,Female,0,69,48.18,3215.13,Two year,Mailed check,2,0
CUST-00118,Male,0,12,84.46,948.02,Month-to-month,Electronic check,3,0
CUST-00119,Female,0,27,79.31,2055.23,Two year,Electronic check,3,0
CUST-00120,Male,1,47,78.2,3851.47,Month-to-month,Mailed check,8,0
CUST-00121,Female,0,38,25.26,1036.9,Month-to-month,Electronic check,4,1
CUST-00122,Female,0,18,87.39,1509.32,Month-to-month,Credit card,7,0
CUST-00123,Female,0,45,103.51,4744.67,Two year,Electronic check,2,0
CUST-00124,Female,0,60,99.41,6022.4,One year,Credit card,5,0
CUST-00125,Male,0,32,118.8,3643.24,Two year,Bank transfer,4,0
CUST-00126,Male,1,8,54.82,427.6,One year,Bank transfer,5,0
CUST-00127,Male,0,8,24.0,182.8,Month-to-month,Mailed check,4,0
CUST-00128,Male,0,62,93.23,5511.6,One year,Electronic check,7,0
CUST-00129,Male,0,42,24.74,964.34,One year,Credit card,8,0
CUST-00130,Female,0,44,99.1,4770.55,One year,Mailed check,8,1
CUST-00131,Male,0,33,75.96,2326.52,Month-to-month,Mailed check,7,0
CUST-00132,Female,1,22,108.38,2215.51,One year,Bank transfer,4,0
CUST-00133,Female,1,31,115.11,3352.72,One year,Bank transfer,6,1
CUST-00134,Male,0,57,105.35,5907.16,Month-to-month,Electronic check,3,1
CUST-00135,Male,0,14,70.63,991.71,Month-to-month,Bank transfer,3,0
CUST-00136,Female,0,24,93.13,2092.11,Month-to-month,Electronic check,6,0
CUST-00137,Male,0,24,81.23,1756.28,Two year,Mailed check,8,0
CUST-00138,Male,1,2,33.29,72.54,One year,Electronic check,3,0
CUST-00139,Male,1,28,23.89,721.32,Two year,Electronic check,5,0
CUST-00140,Female,1,58,114.95,6685.35,Month-to-month,Bank transfer,4,0
CUST-00141,Male,0,24,38.1,833.2,Two year,Mailed check,6,0
CUST-00142,Male,0,35,33.06,1220.03,One year,Credit card,2,0
CUST-00143,Female,0,24,63.55,1544.38,One year,Bank transfer,1,0
CUST-00144,Female,0,69,33.45,2350.8,Month-to-month,Mailed check,1,0
CUST-00145,Female,1,31,26.05,877.31,Two year,Electronic check,3,0
CUST-00146,Male,0,34,79.48,2919.02,Month-to-month,Credit card,2,1
CUST-00147,Male,0,38,85.6,3008.91,Two year,Electronic check,4,0
CUST-00148,Female,0,26,31.15,835.21,Two year,Credit card,2,0
CUST-00149,Male,0,36,30.98,1061.05,One year,Electronic check,6,0
CUST-00150,Female,0,8,119.81,1005.33,Month-to-month,Bank transfer,3,1
CUST-00151,Female,1,12,88.76,1128.44,Two year,Credit card,8,0
CUST-00152,Male,0,39,79.81,3290.72,Month-to-month,Electronic check,5,0
CUST-00153,Male,0,52,51.6,2778.25,Month-to-month,Electronic check,1,0
CUST-00154,Female,0,10,35.63,378.48,One year,Electronic check,4,0
CUST-00155,Male,0,30,80.64,2304.63,Month-to-month,Mailed check,6,1
CUST-00156,Female,0,27,112.86,2955.45,One year,Credit card,8,0
CUST-00157,Female,0,55,21.5,1144.05,Month-to-month,Mailed check,3,0
CUST-00158,Male,0,41,51.78,1946.16,Two year,Electronic check,6,0
CUST-00159,Female,0,26,40.85,1015.42,One year,Credit card,4,1
CUST-00160,Female,0,3,88.44,241.03,Month-to-month,Mailed check,1,1
CUST-00161,Female,0,53,112.14,5724.27,Two year,Credit card,1,0
CUST-00162,Male,1,3,76.96,224.06,Month-to-month,Electronic check,3,1
CUST-00163,Male,0,27,84.52,2488.69,One year,Electronic check,2,0
CUST-00164,Female,0,56,52.81,3220.82,One year,Bank transfer,8,0
CUST-00165,Female,0,7,59.94,430.51,Month-to-month,Bank transfer,6,1
CUST-00166,Female,0,36,27.11,905.26,Month-to-month,Electronic check,6,1
CUST-00167,Male,0,33,27.69,990.4,Two year,Credit card,6,0
CUST-00168,Female,0,6,62.99,400.9,Month-to-month,Mailed check,3,1
CUST-00169,Female,0,16,46.45,,One year,Bank transfer,3,0
CUST-00170,Male,0,49,63.42,3228.16,Two year,Electronic check,7,0
CUST-00171,Female,1,61,80.28,5011.27,One year,Bank transfer,3,0
CUST-00172,Female,0,32,86.96,2507.44,Month-to-month,Bank transfer,2,0
CUST-00173,Female,0,22,25.1,577.51,Two year,Bank transfer,8,0
CUST-00174,Female,0,65,103.03,7141.6,Month-to-month,Electronic check,5,0
CUST-00175,Female,0,10,73.24,676.8,Month-to-month,Bank transfer,8,0
CUST-00176,Male,0,17,78.51,1237.53,One year,Bank transfer,6,0
CUST-00177,Male,0,23,100.62,2509.68,One year,Bank transfer,8,0
CUST-00178,Male,0,8,84.73,646.54,Month-to-month,Electronic check,7,0
CUST-00179,Female,1,60,60.91,4010.37,Month-to-month,Mailed check,3,1
CUST-00180,Male,0,38,60.48,2092.7,One year,Bank transfer,7,0
CUST-00181,Male,0,23,19.0,430.86,One year,Mailed check,6,0
CUST-00182,Male,1,18,96.71,1595.67,Two year,Credit card,6,1
CUST-00183,Female,1,21,43.63,929.88,One year,Mailed check,4,0
CUST-00184,Female,1,25,40.31,1101.63,One year,Bank transfer,1,0
CUST-00185,Male,0,68,117.08,8643.34,One year,Credit card,6,0
CUST-00186,Male,0,47,49.23,2147.88,Month-to-month,Electronic check,7,0
CUST-00187,Male,0,51,37.77,1947.37,Month-to-month,Mailed check,1,0
CUST-00188,Female,0,25,104.52,2681.49,Two year,Electronic check,7,0
CUST-00189,Female,0,11,68.35,743.26,Two year,Bank transfer,8,0
CUST-00190,Female,0,18,88.39,1450.23,One year,Credit card,8,0
CUST-00191,Male,0,29,21.69,610.53,Month-to-month,Bank transfer,3,0
CUST-00192,Female,1,17,59.27,1038.92,One year,Bank transfer,4,0
CUST-00193,Male,0,13,69.72,933.07,Month-to-month,Mailed check,2,1
CUST-00194,Female,0,65,49.97,2995.56,Month-to-month,Credit card,7,1
CUST-00195,Male,0,33,44.81,1356.38,Two year,Credit card,8,0
CUST-00196,Male,1,49,104.45,5371.16,Two year,Credit card,2,1
CUST-00197,Male,0,50,33.93,1800.81,Month-to-month,Mailed check,5,0
CUST-00198,Male,0,39,59.49,2299.09,Two year,Bank transfer,6,0
CUST-00199,Male,0,46,61.77,3121.46,Two year,Mailed check,5,1
CUST-00200,Female,0,3,75.18,216.09,Two year,Electronic check,5,0
CUST-00201,Male,1,57,43.43,2345.29,Two year,Credit card,7,1
CUST-00202,Female,0,1,76.81,70.24,One year,Bank transfer,6,0
CUST-00203,Female,1,29,84.84,2528.47,Two year,Bank transfer,1,0
CUST-00204,Female,0,7,99.48,634.08,One year,Credit card,7,0
CUST-00205,Female,0,0,114.49,0.0,Two year,Credit card,4,0
CUST-00206,Female,0,16,96.13,1677.61,One year,Electronic check,3,1
CUST-00207,Female,0,16,38.24,664.65,Two year,Electronic check,1,0
CUST-00208,Male,1,48,31.24,1510.13,Two year,Mailed check,4,0
CUST-00209,Female,1,71,85.11,6587.42,Month-to-month,Credit card,3,1
CUST-00210,Male,0,70,18.33,1191.64,One year,Credit card,4,0
CUST-00211,Male,1,56,102.44,5511.61,Two year,Credit card,7,0
CUST-00212,Female,0,72,30.38,2068.65,One year,Electronic check,2,0
CUST-00213,Female,0,20,65.16,1398.61,One year,Mailed check,6,0
CUST-00214,Male,0,62,114.2,7316.25,Two year,Bank transfer,1,0
CUST-00215,Male,1,31,46.87,1537.6,One year,Bank transfer,3,1
CUST-00216,Male,0,27,62.23,1767.51,One year,Bank transfer,8,0
CUST-00217,Female,1,10,56.31,512.79,Two year,Mailed check,3,0
CUST-00218,Male,0,62,113.36,6996.46,Two year,Mailed check,3,0
CUST-00219,Female,0,47,46.94,2357.67,Two year,Bank transfer,5,0
CUST-00220,Male,1,11,31.17,345.51,One year,Mailed check,6,0
CUST-00221,Male,1,59,48.0,2666.82,Two year,Bank transfer,1,0
CUST-00222,Female,0,50,60.45,2902.69,Two year,Electronic check,3,0
CUST-00223,Male,1,35,81.65,2789.64,One year,Credit card,5,0
CUST-00224,Male,0,2,54.95,115.57,Two year,Mailed check,7,0
CUST-00225,Female,0,54,53.62,2767.7,Two year,Mailed check,3,0
CUST-00226,Female,0,71,96.18,6258.89,Two year,Bank transfer,1,0
CUST-00227,Male,0,63,87.89,5522.99,Month-to-month,Bank transfer,4,0
CUST-00228,Male,1,40,27.08,1004.02,Month-to-month,Mailed check,7,0
CUST-00229,Female,0,53,44.04,2146.33,One year,Mailed check,8,0
CUST-00230,Female,0,3,100.79,285.95,One year,Mailed check,4,0
CUST-00231,Female,0,14,58.72,791.51,One year,Credit card,4,0
CUST-00232,Female,1,0,29.99,0.0,One year,Mailed check,7,1
CUST-00233,Male,0,45,49.51,2328.24,Month-to-month,Credit card,4,0
CUST-00234,Female,0,51,19.91,920.69,Month-to-month,Credit card,6,0
CUST-00235,Male,0,5,83.74,403.53,One year,Bank transfer,2,0
CUST-00236,Female,0,51,39.32,2013.07,One year,Electronic check,4,0
CUST-00237,Female,0,43,64.1,2941.36,Month-to-month,Bank transfer,8,0
CUST-00238,Female,0,49,79.83,3730.24,Two year,Bank transfer,6,0
CUST-00239,Female,1,15,69.28,1065.81,Month-to-month,Bank transfer,3,0
CUST-00240,Female,0,68,114.26,7587.37,Two year,Bank transfer,7,0
CUST-00241,Male,0,23,84.04,1998.2,Two year,Bank transfer,6,1
CUST-00242,Male,0,22,27.6,584.56,One year,Credit card,6,0
CUST-00243,Female,0,46,25.74,1102.61,Two year,Electronic check,3,0
CUST-00244,Male,0,29,116.43,3326.32,Month-to-month,Bank transfer,5,1
CUST-00245,Female,0,50,67.68,3612.06,Two year,Credit card,8,0
CUST-00246,Female,0,45,72.94,3094.12,Two year,Electronic check,3,1
CUST-00247,Male,1,15,44.92,690.32,One year,Electronic check,2,0
CUST-00248,Male,0,63,18.99,1186.5,One year,Bank transfer,6,0
CUST-00249,Female,1,45,103.07,4593.69,Month-to-month,Electronic check,3,0
CUST-00250,Female,1,6,52.19,305.08,Two year,Electronic check,1,0
CUST-00251,Female,0,21,26.11,499.54,Month-to-month,Bank transfer,1,0
CUST-00252,Female,0,15,27.14,384.38,Month-to-month,Mailed check,8,1
CUST-00253,Male,1,25,27.21,673.41,Month-to-month,Mailed check,7,0
CUST-00254,Female,0,34,23.25,724.03,Month-to-month,Bank transfer,1,0
CUST-00255,Female,1,53,114.48,5879.89,One year,Bank transfer,3,1
CUST-00256,Male,0,5,35.6,187.93,Month-to-month,Electronic check,3,1
CUST-00257,Male,0,10,82.68,824.24,Month-to-month,Credit card,8,0
CUST-00258,Female,1,0,68.72,0.0,Month-to-month,Mailed check,4,0
CUST-00259,Male,0,23,26.27,638.36,One year,Mailed check,7,1
CUST-00260,Female,0,20,25.87,474.5,Month-to-month,Credit card,6,0
CUST-00261,Male,0,33,93.56,3077.06,One year,Mailed check,2,0
CUST-00262,Female,0,2,107.54,,Month-to-month,Electronic check,3,1
CUST-00263,Male,0,2,105.2,204.41,One year,Electronic check,4,1
CUST-00264,Female,1,4,114.96,481.94,Two year,Bank transfer,4,1
CUST-00265,Male,0,33,35.2,1162.68,Month-to-month,Credit card,4,1
CUST-00266,Male,0,9,69.21,575.32,Two year,Bank transfer,4,0
CUST-00267,Female,1,44,27.44,1088.43,One year,Credit card,8,0
CUST-00268,Male,0,0,66.54,0.0,One year,Mailed check,4,0
CUST-00269,Female,0,65,94.21,6416.09,Month-to-month,Electronic check,7,1
CUST-00270,Female,0,41,39.97,1663.74,Two year,Credit card,6,0
CUST-00271,Female,0,27,110.4,2826.81,Two year,Electronic check,7,0
CUST-00272,Female,1,10,56.27,528.84,Month-to-month,Credit card,5,1
CUST-00273,Male,0,4,116.99,506.57,Month-to-month,Mailed check,1,0
CUST-00274,Male,0,49,35.06,1724.38,Month-to-month,Credit card,6,0
CUST-00275,Female,1,1,20.02,20.61,One year,Mailed check,6,0
CUST-00276,Male,0,6,33.91,210.74,Month-to-month,Electronic check,3,0
CUST-00277,Female,0,31,29.07,874.02,One year,Mailed check,1,0
CUST-00278,Male,1,50,35.64,1701.56,Month-to-month,Credit card,4,1
CUST-00279,Female,0,49,100.3,5009.06,Two year,Electronic check,8,0
CUST-00280,Female,0,56,29.52,1631.03,One year,Electronic check,3,0
CUST-00281,Male,1,59,96.19,5600.18,One year,Bank transfer,7,0
CUST-00282,Male,0,18,53.06,909.02,Two year,Bank transfer,7,0
CUST-00283,Male,0,4,61.39,268.65,One year,Mailed check,2,1
CUST-00284,Female,1,16,111.66,1873.83,Two year,Electronic check,6,0
CUST-00285,Male,0,37,55.1,2183.53,Two year,Bank transfer,4,0
CUST-00286,Male,0,3,43.23,132.25,Two year,Mailed check,5,1
CUST-00287,Female,0,12,69.05,902.78,Month-to-month,Credit card,2,0
CUST-00288,Male,1,26,69.04,1823.37,Two year,Electronic check,4,0
CUST-00289,Female,0,23,92.71,1951.54,One year,Bank transfer,2,0
CUST-00290,Male,0,0,75.46,0.0,One year,Bank transfer,3,0
CUST-00291,Female,1,11,21.9,220.4,Two year,Credit card,3,0
CUST-00292,Female,0,14,54.03,683.91,Month-to-month,Mailed check,3,0
CUST-00293,Female,1,46,98.49,4194.12,Month-to-month,Electronic check,5,1
CUST-00294,Male,0,46,59.74,2838.3,Two year,Mailed check,6,0
CUST-00295,Male,0,69,74.46,5140.06,Month-to-month,Electronic check,4,1
CUST-00296,Female,1,65,47.99,3026.38,Month-to-month,Mailed check,1,0
CUST-00297,Male,0,20,69.32,1256.16,One year,Mailed check,8,0
CUST-00298,Female,0,30,69.09,2136.89,Month-to-month,Electronic check,4,0
CUST-00299,Female,0,16,114.95,1693.56,Month-to-month,Mailed check,7,0
CUST-00300,Female,0,23,102.76,2338.35,Two year,Electronic check,5,0
CUST-00301,Male,0,36,95.55,3372.65,Two year,Electronic check,4,0
CUST-00302,Female,0,61,57.64,3817.78,One year,Bank transfer,6,0
CUST-00303,Male,0,19,84.63,1634.77,Two year,Bank transfer,6,0
CUST-00304,Female,1,63,26.01,1582.84,One year,Bank transfer,3,0
CUST-00305,Male,1,6,38.36,228.82,One year,Credit card,1,0
CUST-00306,Male,0,8,84.2,617.04,One year,Mailed check,5,0
CUST-00307,Male,1,5,31.06,156.47,Month-to-month,Electronic check,8,1
CUST-00308,Male,0,39,70.82,2913.14,One year,Mailed check,6,0
CUST-00309,Female,0,61,43.48,2517.04,One year,Credit card,3,0
CUST-00310,Female,1,46,106.91,5379.09,Two year,Bank transfer,7,0
CUST-00311,Female,0,3,100.38,319.5,One year,Bank transfer,8,1
CUST-00312,Female,0,57,35.66,1971.49,One year,Credit card,5,1
CUST-00313,Male,0,67,61.98,4222.89,Two year,Credit card,1,0
CUST-00314,Female,1,27,116.14,3106.42,One year,Bank transfer,5,0
CUST-00315,Female,1,37,56.44,1919.66,Month-to-month,Mailed check,5,1
CUST-00316,Female,0,6,25.29,164.92,Two year,Mailed check,2,0
CUST-00317,Female,0,42,85.01,3598.42,Month-to-month,Mailed check,2,0
CUST-00318,Male,1,36,91.52,3374.79,Two year,Credit card,6,0
CUST-00319,Male,0,28,87.16,2227.77,Month-to-month,Credit card,6,1
CUST-00320,Male,0,52,66.05,3754.25,Month-to-month,Mailed check,6,0
CUST-00321,Female,1,36,60.26,1999.05,Month-to-month,Bank transfer,4,0
CUST-00322,Male,0,67,99.77,6043.27,Month-to-month,Bank transfer,4,1
CUST-00323,Male,0,20,42.37,782.22,Month-to-month,Electronic check,8,0
CUST-00324,Male,0,59,35.4,2042.66,One year,Bank transfer,5,0
CUST-00325,Female,0,20,99.84,2122.09,Two year,Credit card,4,1
CUST-00326,Male,0,2,118.41,241.2,One year,Electronic check,1,0
CUST-00327,Female,0,16,23.72,400.41,Month-to-month,Mailed check,7,1
CUST-00328,Male,1,24,111.73,2627.72,Month-to-month,Bank transfer,2,1
CUST-00329,Female,0,47,97.87,4918.98,One year,Mailed check,6,0
CUST-00330,Male,0,57,83.32,4749.78,One year,Bank transfer,8,1
CUST-00331,Female,0,2,75.79,147.19,Month-to-month,Electronic check,1,1
CUST-00332,Female,1,3,37.31,107.4,Two year,Mailed check,7,0
CUST-00333,Female,0,47,85.16,3953.47,Two year,Bank transfer,3,0
CUST-00334,Female,1,50,106.84,5104.04,Two year,Credit card,8,0
CUST-00335,Male,1,5,88.72,468.02,Month-to-month,Credit card,6,0
CUST-00336,Male,0,69,19.0,1344.88,One year,Credit card,5,0
CUST-00337,Male,0,18,98.24,1835.91,Month-to-month,Bank transfer,5,1
CUST-00338,Female,0,50,31.01,1647.27,Month-to-month,Bank transfer,2,0
CUST-00339,Male,0,41,63.17,2729.7,One year,Credit card,7,0
CUST-00340,Male,0,62,73.04,4601.02,One year,Electronic check,5,0
CUST-00341,Female,0,39,80.99,3037.91,Two year,Electronic check,6,0
CUST-00342,Male,0,68,112.05,8052.92,Two year,Electronic check,8,1
CUST-00343,Male,0,70,96.81,6774.19,Two year,Credit card,4,1
CUST-00344,Male,0,4,80.91,319.68,Two year,Bank transfer,7,1
CUST-00345,Male,0,54,18.69,1087.47,One year,Electronic check,1,0
CUST-00346,Female,0,56,67.31,3464.75,Two year,Electronic check,3,0
CUST-00347,Female,0,43,26.46,1035.49,Two year,Mailed check,8,1
CUST-00348,Male,0,66,65.92,4460.78,One year,Bank transfer,8,0
CUST-00349,Female,0,15,117.68,1925.13,Two year,Bank transfer,7,1
CUST-00350,Male,0,69,95.01,6740.72,Month-to-month,Electronic check,8,1
CUST-00351,Female,0,42,61.95,2746.58,One year,Electronic check,8,0
CUST-00352,Male,1,33,72.37,2216.73,Two year,Mailed check,1,0
CUST-00353,Male,0,23,45.51,1017.85,Two year,Electronic check,1,0
CUST-00354,Female,1,58,82.39,4684.06,Month-to-month,Mailed check,8,0
CUST-00355,Male,1,13,75.59,1011.63,One year,Bank transfer,3,1
CUST-00356,Female,0,54,84.47,4215.17,One year,Mailed check,1,0
CUST-00357,Male,1,19,36.23,643.83,One year,Electronic check,5,1
CUST-00358,Male,0,53,22.74,1211.59,Two year,Electronic check,5,0
CUST-00359,Male,0,48,78.29,3464.57,Two year,Mailed check,4,0
CUST-00360,Female,0,42,38.79,1475.53,One year,Mailed check,2,0
CUST-00361,Male,0,24,20.84,468.29,Two year,Credit card,8,0
CUST-00362,Male,0,50,95.4,5218.23,One year,Electronic check,7,0
CUST-00363,Female,0,29,34.82,1035.86,Month-to-month,Electronic check,4,0
CUST-00364,Female,0,15,110.27,1659.15,Two year,Mailed check,7,0
CUST-00365,Male,0,62,24.79,1542.5,Two year,Electronic check,6,0
CUST-00366,Male,0,17,29.49,474.73,Month-to-month,Credit card,3,0
CUST-00367,Female,0,61,80.85,4877.03,One year,Credit card,6,0
CUST-00368,Male,0,72,85.79,5861.76,One year,Credit card,1,0
CUST-00369,Female,0,11,83.24,936.54,Month-to-month,Electronic check,3,1
CUST-00370,Male,1,2,41.6,88.64,One year,Electronic check,7,1
CUST-00371,Female,0,60,80.22,4774.47,One year,Electronic check,5,0
